date,signal_date,regime,regime_reason,regime_confidence,p_bull,p_chop,p_bear,transition_risk,breadth,vix,macro_score,news_bias,suppression_score,news_reason
2019-12-06,2019-12-05,CHOP,Probabilistic mixed/chop regime | Neutral news backdrop,1.0,0.9684222923071977,0.025655391630999936,0.005922316061802455,0.013125008314111685,0.18697385910500663,14.3100004196167,0.03792690639593434,0.0,0.0,Neutral news backdrop
2019-12-13,2019-12-12,CHOP,Probabilistic mixed/chop regime | Neutral news backdrop,1.0,0.9703881332831475,0.023988689612927123,0.005623177103925355,0.007931637203333012,0.16393442622950818,13.350000381469727,0.04320215824206918,0.0,0.0,Neutral news backdrop
2019-12-20,2019-12-19,CHOP,Probabilistic mixed/chop regime | Neutral news backdrop,1.0,0.9753685764830003,0.020291234896361608,0.004340188620637875,0.008035521867461315,0.18298626495347806,12.119999885559082,0.03454935338554991,0.0,0.0,Neutral news backdrop
2019-12-27,2019-12-26,CHOP,Probabilistic mixed/chop regime | Neutral news backdrop,1.0,0.9788781722969444,0.018000161612725517,0.003121666090330135,0.006428016874951925,0.19184758529020823,11.119999885559082,1.6955475424619886,0.0,0.0,Neutral news backdrop
2020-01-03,2020-01-02,CHOP,Probabilistic mixed/chop regime | Neutral news backdrop,1.0,0.9839150891378811,0.014050530381724524,0.0020343804803943724,0.0058904708469241845,0.2410279131590607,11.489999771118164,1.6930211250997367,0.0,0.0,Neutral news backdrop
2020-01-10,2020-01-09,CHOP,Probabilistic mixed/chop regime | Neutral news backdrop,1.0,0.983655214707426,0.014260588362036575,0.0020841969305374825,0.0038027399383271008,0.24900310146211785,14.0,1.6772149465556343,0.0,0.0,Neutral news backdrop
2020-01-17,2020-01-16,CHOP,Probabilistic mixed/chop regime | Neutral news backdrop,1.0,0.9829727499082866,0.015118454830747016,0.0019087952609663323,0.0041732489814556495,0.3225520602569783,14.180000305175781,1.677678557077502,0.0,0.0,Neutral news backdrop
2020-01-24,2020-01-23,CHOP,Probabilistic mixed/chop regime | Neutral news backdrop,1.0,0.9671995487381818,0.027577280204309034,0.005223171057509155,0.014702664990412641,0.3212228622064688,15.859999656677246,0.02885851642645294,0.0,0.0,Neutral news backdrop
2020-01-31,2020-01-30,CHOP,Probabilistic mixed/chop regime | Neutral news backdrop,1.0,0.9601327866269133,0.03276103535416562,0.007106178018921214,0.012574721228472462,0.3043863535666814,16.799999237060547,0.024807592447069052,0.0,0.0,Neutral news backdrop
2020-02-07,2020-02-06,CHOP,Probabilistic mixed/chop regime | Neutral news backdrop,1.0,0.9683222692861257,0.026546499401340407,0.005131231312533808,0.01104705960192726,0.28932210899424016,13.779999732971191,0.04318791064473044,0.0,0.0,Neutral news backdrop
